Id_naglowka,Wersja,DataSprawozdania
0,0,2023-07-10
1,1,2023-07-07
2,0,2023-07-04
3,0,2023-07-07
4,1,2023-07-14
5,0,2023-07-05
6,0,2023-01-31
7,0,2023-01-30
8,1,2023-02-17
